high,low,open,close,volume,macd_26,macd_9,macd_diff,adx,adx_neg,adx_pos,span_a,span_b,kijun,tenkan,rsi,cmf,sma,date,label
9272.759766,8775.53418,9265.368164,8804.880859,24333037836,282.3112854,257.7068962,24.60438919,31.74500976,16.58393347,31.03623156,8313.773193,8313.773193,8734.366455,9266.884766,59.48760669,-0.025632276,9290.007704,11/8/2019,DOWN
8891.818359,8793.163086,8809.46875,8813.582031,17578630606,231.9689264,252.5593023,-20.5903759,29.94149179,24.23833388,27.60601758,8313.773193,8313.773193,8734.366455,9140.292969,48.56727246,-0.05510851,9245.469293,11/9/2019,UP
9103.826172,8806.162109,8812.489258,9055.526367,20587919881,190.5774972,240.1629413,-49.58544404,28.26679653,23.67913087,26.96911867,8313.773193,8313.773193,8734.366455,9140.292969,48.75778274,-0.064979696,9202.580078,11/10/2019,UP
9081.279297,8700.608398,9056.917969,8757.788086,20265510765,175.2768944,227.1857319,-51.90883752,27.34865709,22.02781927,30.05531113,8313.773193,8313.773193,8734.366455,9140.292969,53.87397968,-0.05666283,9179.738064,11/11/2019,DOWN
8853.768555,8685.427734,8759.751953,8815.662109,20309769107,137.5405831,209.2567021,-71.71611899,26.09507854,22.52734456,27.42162279,8333.604126,8313.773193,8734.366455,9102.830078,47.57843394,-0.081620029,9116.745877,11/12/2019,UP
8836.841797,8761.651367,8812.033203,8808.262695,17545755405,111.0244143,189.6102446,-78.58583026,24.87239359,21.98615192,26.32311077,8333.604126,8313.773193,8734.366455,9095.239746,48.83013966,-0.02903972,9070.11339,11/13/2019,DOWN
8826.943359,8692.551758,8811.936523,8708.094727,19084739975,88.39413602,169.3670229,-80.97288684,23.73704328,21.57050011,25.82546804,8311.972168,8311.972168,8734.366455,9071.422852,48.67012747,0.014762493,9002.963433,11/14/2019,DOWN
8730.873047,8484.84375,8705.708008,8491.992188,21796856471,61.66591323,147.8268009,-86.1608877,22.38717138,22.6184476,24.91869218,8311.972168,8311.972168,8734.366455,9054.33252,46.45102857,-0.015884022,8932.47092,11/15/2019,DOWN
8591.99707,8473.973633,8491.166016,8550.760742,16495389808,22.7833035,122.8181014,-100.0347979,21.2622851,26.61983823,23.30541855,8249.27417,8311.972168,8734.366455,8926.660156,42.00167915,-0.108473757,8835.927843,11/16/2019,UP
8727.789063,8500.967773,8549.470703,8577.975586,18668638897,-3.251828568,97.60411544,-100.855944,20.25864204,26.05639217,22.55116411,8249.27417,8311.972168,8734.366455,8873.366699,43.58427909,-0.091513026,8756.283312,11/17/2019,UP
8653.280273,8273.573242,8573.980469,8309.286133,21579470673,-21.4416815,73.79495605,-95.23663756,18.88012811,24.42063739,24.89378312,8234.205811,8311.972168,8734.366455,8788.899902,44.34168948,-0.132790181,8731.071615,11/18/2019,DOWN
8408.516602,8099.963379,8305.134766,8206.145508,21083613816,-56.88255763,47.65945332,-104.5420109,18.33438353,28.02645984,22.36285049,8017.785156,8095.551514,8734.366455,8688.699707,38.80278947,-0.10663678,8675.038737,11/19/2019,DOWN
8237.240234,8010.511719,8203.613281,8027.268066,20764300437,-92.2291337,19.68173591,-111.9108696,18.40057106,30.33370141,20.53573474,7978.113037,8084.384521,8750.864258,8590.621338,36.89745375,-0.145976046,8580.663086,11/20/2019,DOWN
8110.098145,7597.381836,8023.644531,7642.75,22514243371,-133.1407014,-10.88275154,-122.2579498,18.7374101,30.88751291,19.28863514,8076.824463,8084.384521,9016.12793,8432.140137,33.79783721,-0.16929697,8499.494195,11/21/2019,DOWN
7697.382813,6936.706543,7643.569336,7296.577637,34242315785,-194.3504568,-47.57629259,-146.7741642,20.10414064,37.28938785,16.80351842,8734.366455,8734.366455,8701.25,8217.111816,28.29520722,-0.210113003,8369.170627,11/22/2019,DOWN
7442.258789,7151.417969,7296.164551,7397.796875,21008924418,-267.7068872,-91.60241152,-176.1044757,22.47565047,45.75051015,13.93498882,8734.366455,8734.366455,8370.912354,7881.824951,24.43773599,-0.251985431,8201.205621,11/23/2019,UP
7408.577148,7029.289063,7398.633789,7047.916992,30433517289,-314.0546142,-136.0928521,-177.9617621,24.67776675,42.74586366,13.01981399,8734.366455,8734.366455,8226.443604,7833.789795,27.54798829,-0.228335537,8055.61697,11/24/2019,DOWN
7319.856934,6617.166992,7039.977051,7146.133789,42685231262,-374.6986118,-183.814004,-190.8846078,26.89123792,41.85526471,11.92034081,8734.366455,8734.366455,8220.87915,7832.247803,23.88777094,-0.273052247,7895.164171,11/25/2019,UP
7320.230469,7098.572266,7145.15918,7218.371094,21129505542,-410.1066876,-229.0725407,-181.0341469,29.43816783,44.27678925,10.20154249,8734.366455,8734.366455,8061.109375,7672.478027,26.8269082,-0.241275244,7739.09451,11/26/2019,UP
7619.693359,6974.174316,7220.880859,7531.663574,23991412764,-427.4119569,-268.740424,-158.671533,31.80141523,42.20927326,9.733047875,8734.366455,8734.366455,8061.109375,7635.223633,28.9985738,-0.232246639,7588.027344,11/27/2019,UP
7730.072754,7454.121582,7536.820313,7463.105957,19050116751,-411.1074321,-297.2138256,-113.8936065,32.65309609,36.8174419,14.415754,8734.366455,8734.366455,8061.109375,7512.841797,37.64236561,-0.192347692,7501.624837,11/28/2019,DOWN
7781.179688,7460.756348,7466.727051,7761.243652,19709695456,-399.1172305,-317.5945066,-81.52272395,32.99328266,34.77253897,15.83672463,8742.615356,8734.366455,8061.109375,7427.203613,36.59253284,-0.221038658,7419.064887,11/29/2019,UP
7836.102051,7515.849609,7764.057129,7569.629883,17158194786,-361.3917894,-326.3539632,-35.03782626,33.09892501,32.51429913,15.84406915,9038.27478,8734.366455,8061.109375,7363.632568,43.91766047,-0.140924211,7389.506619,11/30/2019,DOWN
7571.616211,7291.341797,7571.616211,7424.29248,18720708479,-343.0018238,-329.6835353,-13.31828854,32.96467198,30.3899923,15.92937256,9075.642212,8734.366455,8037.29248,7226.634521,40.66603076,-0.143376055,7381.382161,12/1/2019,DOWN
7474.818848,7233.399414,7424.036133,7321.988281,17082040706,-336.2787453,-331.0025773,-5.276168008,33.31282749,33.27359765,15.0053859,9075.642212,8734.366455,8020.202148,7226.634521,38.34688855,-0.175698006,7395.5727,12/2/2019,DOWN
7418.858887,7229.356934,7323.975586,7320.145508,14797485769,-335.3401584,-331.8700935,-3.470064891,33.75178809,32.80012572,14.23921352,9003.407837,8734.366455,7992.821777,7226.634521,36.75780786,-0.156189363,7387.149523,12/3/2019,DOWN
7539.784668,7170.922852,7320.125,7252.034668,21664240918,-330.9302599,-331.6821268,0.751866886,34.16784239,31.5312368,13.65004497,9000.62561,8734.366455,7944.963379,7226.634521,36.72828356,-0.183596448,7417.397135,12/4/2019,DOWN
7743.431641,7232.676758,7253.241699,7448.307617,18816085231,-329.1372696,-331.1731553,2.035885785,33.96389177,29.01468377,15.17711264,8937.329712,8734.366455,7860.496582,7405.138184,35.59041515,-0.217216102,7429.1639,12/5/2019,UP
7546.996582,7392.175293,7450.561523,7546.996582,18104466307,-308.3245516,-326.6034346,18.27888299,32.86500647,25.92879084,17.80354294,8937.329712,8734.366455,7860.496582,7405.138184,41.2398286,-0.192003301,7454.712402,12/6/2019,UP
7589.95166,7525.711426,7547.265625,7556.237793,15453520564,-280.631997,-317.4091471,36.77715006,31.84461298,25.05877786,17.20616401,8937.329712,8734.366455,7849.223145,7503.512451,43.90409032,-0.109502149,7456.41607,12/7/2019,UP
7634.606445,7476.091309,7551.338867,7564.345215,15409908086,-255.0002751,-304.9273727,49.92709761,30.70084478,24.68860788,17.93974716,8918.598267,8734.366455,7735.467773,7503.512451,44.15941264,-0.12225583,7466.764052,12/8/2019,UP
7618.091797,7365.985352,7561.79541,7400.899414,17872021272,-231.3657097,-290.2150401,58.84933039,29.8072185,24.93844834,17.2621306,8914.803101,8734.366455,7727.004395,7503.512451,44.39851428,-0.1061314,7444.886447,12/9/2019,DOWN
7424.022949,7246.043945,7397.134277,7278.119629,18249031195,-223.2503653,-276.8221051,53.57173986,29.3441189,26.07690434,16.2132282,8902.894653,8734.366455,7722.055176,7457.177246,40.62217164,-0.096822215,7426.138618,12/10/2019,DOWN
7324.15625,7195.527344,7277.197754,7217.427246,16350490689,-224.1424245,-266.286169,42.14374448,29.2896368,27.90118907,15.4973051,8894.349487,8734.366455,7674.02002,7457.177246,38.00697672,-0.108792827,7409.89719,12/11/2019,DOWN
7266.639648,7164.741211,7216.73877,7243.134277,18927080224,-227.1285593,-258.4546471,31.32608773,29.3929165,28.27903182,14.98239363,8830.513306,8734.366455,7672.478027,7457.177246,36.74758247,-0.094320773,7398.279297,12/12/2019,UP
7293.560547,7227.122559,7244.662109,7269.68457,17125736940,-224.8290607,-251.7295298,26.90046913,29.58485769,28.33232881,14.56941079,8803.866577,8734.366455,7672.478027,7454.086426,37.68939138,-0.02993103,7389.722493,12/13/2019,UP
7308.836426,7097.208984,7268.902832,7124.673828,17137029730,-218.3473325,-245.0530903,26.70575783,29.59372342,27.79437943,15.06214425,8761.633179,8734.366455,7635.223633,7454.086426,38.70450877,-0.015424331,7391.683594,12/14/2019,DOWN
7181.075684,6924.375977,7124.239746,7152.301758,16881129804,-222.3485752,-240.5121873,18.16361206,30.0304046,29.84861717,14.14109595,8711.533081,8734.366455,7512.841797,7365.907715,35.3200365,-0.080526272,7355.724284,12/15/2019,UP
7171.168945,6903.682617,7153.663086,6932.480469,20213265950,-220.7456277,-236.5588754,15.81324765,30.93618717,32.62104976,13.09507214,8670.742798,8734.366455,7427.203613,7279.491211,36.46004774,0.016564616,7311.869303,12/16/2019,DOWN
6964.075195,6587.974121,6931.31543,6640.515137,22363804217,-234.5097389,-236.1490481,1.639309192,31.83395516,30.71373545,12.09139121,8724.134033,8734.366455,7363.632568,7269.144531,31.67618863,-0.080006356,7242.562934,12/17/2019,DOWN
7324.984863,6540.049316,6647.698242,7276.802734,31836522778,-265.9117928,-242.101597,-23.81019575,33.41574731,36.24895318,10.83401593,8459.180908,8734.366455,7212.038086,7103.032959,26.67074559,-0.126040509,7139.915148,12/18/2019,UP
7346.602539,7041.381836,7277.59082,7202.844238,25904604416,-236.7262227,-241.0265222,4.300299443,32.84069213,29.38174343,17.49218367,8126.368652,8479.225342,7188.075684,6982.036133,46.50879075,-0.096851862,7126.126628,12/19/2019,DOWN
7257.921875,7086.124023,7208.636719,7218.816406,22633815180,-217.0621237,-236.2336425,19.17151879,32.20064382,27.22215026,16.72706961,8030.116699,8479.225342,7188.075684,6943.325928,44.98539601,-0.046883756,7117.762695,12/20/2019,UP
7223.226074,7112.73584,7220.59375,7191.158691,19312552168,-197.9080028,-228.5685145,30.66051175,31.60631325,26.06103722,16.01360581,8026.563477,8479.225342,7188.075684,6943.325928,45.40132576,-0.058779024,7117.917046,12/21/2019,DOWN
7518.033203,7167.179199,7191.188477,7511.588867,23134537956,-182.8521645,-219.4252445,36.57308004,31.05443486,25.3132286,15.55410329,7866.793701,8319.455566,7188.075684,6943.325928,44.77012515,-0.010306175,7112.141981,12/22/2019,UP
7656.17627,7326.192383,7508.902344,7355.628418,27831788041,-143.4111129,-204.2224182,60.81130531,29.0564545,23.05128802,21.67258092,7848.166504,8319.455566,7188.075684,7029.04126,52.93418616,0.046600633,7139.020237,12/23/2019,DOWN
7535.716797,7269.528809,7354.393066,7322.532227,22991622105,-123.3169788,-188.0413303,64.72435152,27.33587175,21.13812857,23.34834843,7786.975586,8319.455566,7188.075684,7098.112793,49.12769909,0.00178895,7164.681858,12/24/2019,DOWN
7357.02002,7220.991211,7325.755859,7275.155762,21559505149,-108.8085417,-172.1947726,63.38623091,25.4881398,21.14814384,21.77814049,7744.156494,8319.455566,7188.075684,7098.112793,48.33340067,-0.029109833,7183.596354,12/25/2019,DOWN
7388.302734,7200.386719,7274.799316,7238.966797,22787010034,-99.9808683,-157.7519917,57.77112344,23.77904581,21.66684986,21.00088168,7712.370972,8319.455566,7188.075684,7098.112793,47.15801048,-0.011022884,7221.671387,12/26/2019,DOWN
7363.529297,7189.934082,7238.141113,7290.088379,22777360996,-94.81208585,-145.1640106,50.35192471,22.11628529,20.5744284,20.78137222,7631.963501,8319.455566,7141.740479,7098.112793,46.23312878,-0.035227138,7288.166016,12/27/2019,UP
7399.041016,7286.905273,7289.03125,7317.990234,21365673026,-85.60391544,-133.2519915,47.64807609,20.55285352,19.87931593,19.7887773,7623.418335,8319.455566,7141.740479,7348.779053,47.79085141,-0.068277451,7289.642198,12/28/2019,UP
7513.948242,7279.865234,7317.647461,7422.652832,22445257702,-75.18820468,-121.6392342,46.45102948,19.25348772,19.24003082,20.17080937,7609.728149,8319.455566,7141.740479,7371.150146,48.66503396,-0.087139913,7302.436198,12/29/2019,UP
7454.824219,7276.308105,7420.272949,7292.995117,22874131672,-57.8217488,-108.8757371,51.05398829,18.62305321,17.94286513,22.1204267,7585.79895,8319.455566,7141.740479,7384.456055,51.91730987,-0.078686959,7325.08469,12/30/2019,DOWN
7335.290039,7169.777832,7294.438965,7193.599121,21167946112,-53.89967944,-97.88052556,43.98084612,18.01598708,17.10602129,20.95985955,7632.817383,8319.455566,7141.740479,7411.677734,47.87118038,-0.09030403,7336.399848,12/31/2019,DOWN
7254.330566,7174.944336,7194.89209,7200.174316,18565664997,-58.14161705,-89.93274386,31.79112681,16.81222904,19.45843761,19.91651578,7632.817383,8319.455566,7098.112793,7412.977051,44.97732747,-0.097165364,7301.067654,1/1/2020,UP
7212.155273,6935.27002,7202.55127,6985.470215,20802083465,-60.2779729,-84.00178967,23.72381677,15.69445371,18.97066058,19.41725581,7676.367798,8319.455566,7098.112793,7352.747314,45.21326779,-0.087959187,7283.794976,1/2/2020,DOWN
7413.715332,6914.996094,6984.428711,7344.884277,28111481032,-78.39222022,-82.87987578,4.487655554,15.75581623,24.78709622,17.74631558,7619.490112,8319.455566,7098.112793,7224.609131,39.28884418,-0.138400433,7246.343641,1/3/2020,UP
7427.385742,7309.51416,7345.375488,7410.656738,18444271275,-63.01972844,-78.90784631,15.88811787,14.67309171,21.24143042,20.98903036,7615.258423,8319.455566,7098.112793,7214.472168,50.88974695,-0.102319035,7254.091254,1/4/2020,UP
